ID	host	host2	w	fruit	seed	sugar	fruitS	seedS	sugarS	fruitS2	seed2	sugarS2	fruitxswgt	fruitxsugar	swgtxsugar	cs	hab50	hab100	hab250	system	x	y
QM03	A_chilensis	A_chilensis	0.666666667	5.196666667	15.3	12.15	-0.020104768	-0.996612758	-0.978752678	-0.074527002	-0.832030064	-0.889137753	-0.872883118	-1.014739245	-1.159818594	6	0.152719665	0.272681704	0.239747634	Transformed	615355	5575125
QM04	A_chilensis	A_chilensis	0.8	5.574	20.24	16.2	0.67360383	-0.515637641	-0.209905283	0.67257199	-0.552177496	-0.319498906	-0.3601134	0.023006562	-0.530249474	10	0.191397849	0.288423154	0.239129013	Transformed	615354	5575120
QM05	D_winteri	Other	0.15	4.516	23.574	23.9	-1.271476637	-0.191028119	1.251853963	-1.289826616	-0.319334369	1.21238767	-0.457984724	0.696779247	0.514047024	30	0.19412516	0.316739873	0.24560837	Transformed	615363	5575100
QM06	A_chilensis	A_chilensis	0.666666667	5.006666667	15.13333333	13.4	-0.369410334	-1.012839989	-0.7414541	-0.430901049	-0.840115123	-0.730687685	-0.930480561	-0.863817719	-1.084924256	6	0.472222222	0.349326146	0.271491455	Transformed	615409	5575075
QM07	A_chilensis	A_chilensis	0.75	5.522	32.36	16	0.578004412	0.664406574	-0.247873056	0.566505015	0.464008694	-0.351449386	0.653982426	-0.051379874	0.311605744	10	0.512605042	0.351453175	0.268114064	Transformed	615406	5575071
QM08	A_chilensis	A_chilensis	0.333333333	3.005	20	30.5	-4.04937511	-0.539004853	2.504790459	-3.378884366	-0.56757159	2.993676513	-1.171673811	0.074730889	0.720579817	40	0.494382022	0.349087003	0.269327813	Transformed	615407	5575073
QM09	A_chilensis	A_chilensis	1	4.403333333	11.36666667	10.7	-1.478608709	-1.379575402	-1.25401903	-1.474556958	-0.999221647	-1.053516521	-1.326369121	-1.627003399	-1.444786561	6	0.473760933	0.337433155	0.268996764	Transformed	615405	5575077
QM10	A_chilensis	A_chilensis	1	4.78	33.75	9.1	-0.786125745	0.799741677	-1.557761211	-0.838687552	0.610484832	-1.210689066	0.386628412	-1.765232971	-0.622308545	4	0.574772432	0.39806867	0.265980992	Transformed	615409	5575054
QM11	A_chilensis	A_chilensis	0.6	4.458	17.08	1.4	-1.378106757	-0.823305935	-3.019520457	-1.38550734	-0.74015836	-1.611806498	-0.924706346	-3.188800147	-1.878019454	10	0.582165605	0.622713739	0.331592348	Transformed	615476	5574973
QM12	A_chilensis	A_chilensis	0.466666667	4.872	21.618	24.15	-0.616988314	-0.381470898	1.299313679	-0.675451706	-0.460235778	1.27198474	-0.475492636	1.068421035	0.330736278	60	0.617346939	0.500212314	0.45803197	Transformed	615541	5574898
QM97	A_luma	Other	0.6	5.2	30.56	17.1	-0.0139766	0.489152482	-0.039050306	-0.068156359	0.28348004	-0.170810106	0.349481628	-0.029676825	0.332958944	35	0.240816327	0.115254237	0.270253278	Transformed	615687	5575381
QM98	A_chilensis	A_chilensis	1	4.626	16.34	17.06	-1.069247099	-0.895354839	-0.046643861	-1.104966043	-0.779578948	-0.177589165	-0.933231787	-0.41178957	-0.748071619	20	0.087272727	0.179725759	0.306612859	Transformed	615714	5575397
QM53	R_spinosus	R_spinosus	0.1	5.8725	41.025	14.025	1.222381258	1.508060296	-0.62280481	1.300670034	1.47759513	-0.645648681	1.611938307	-0.280262502	0.567062128	20	0.050086356	0.29308094	0.386099563	Transformed	615099	5574260
QM54	A_chilensis	A_chilensis	0.5	4.67	22.48	18.15	-0.988355283	-0.297543661	0.1602805	-1.029776199	-0.399644364	0.012818329	-0.480746697	-0.188609628	-0.174995369	30	0.029304029	0.291386272	0.390172786	Transformed	615091	5574266
QM55	A_chilensis	A_chilensis	0.1	5.005	10.8	14	-0.372474417	-1.434747986	-0.627550782	-0.433968414	-1.019243902	-0.64912466	-1.264748597	-0.749927658	-1.313649421	20	0.032490975	0.289295393	0.393586006	Transformed	615086	5574275
QM57	A_chilensis	A_chilensis	0.16	5.056	30.76	19	-0.27871345	0.508625159	0.321643534	-0.339644521	0.303028703	0.169482345	0.297303096	0.24329251	0.607251789	20	0.025996534	0.359946773	0.360855939	Transformed	615111	5574230
